date,volume,open,high,low,close,price_difference,ma10,ma30,rsi,macd,macdsignal,macdhist,snownlp,bert
2018/3/5,27337846,242.5,243,240.5,241.5,1.5,241.3,247.7,47.07804027,-0.862414773,-0.114352319,-0.748062453,0.523764462,-1
2018/3/8,20645694,249.5,251.5,249,249.5,2.5,244.8,248.6666667,54.74103563,0.358293925,-0.024356806,0.38265073,0.029605195,-1
2018/3/26,39487945,241.5,244.5,241.5,243.5,-1.5,252.65,247.35,42.22722193,0.844954463,1.848320191,-1.003365727,0.841097537,-1
2018/3/28,29924411,247.5,248,244,245,-6,250.65,246.8,45.47773323,0.394984082,1.400571742,-1.00558766,0.33008745,-1
2018/3/30,16996346,247.5,249.5,246,246,2,248.65,247.1666667,47.05176675,-0.254042879,0.836155814,-1.090198694,0.214671026,-1
2018/4/2,19029003,248.5,249,245,246.5,-1,247.25,247.9333333,47.73642878,-0.384873651,0.412646678,-0.797520328,0.930786661,-1
2018/4/9,35465824,248,248,243.5,245,1,245.75,248.2666667,46.15149614,-0.785720948,0.001579059,-0.787300006,0.058857282,-1
2018/4/10,25268994,244.5,249,243.5,245.5,0.5,245.8,248.4666667,46.9250752,-0.836503324,-0.166037418,-0.670465907,0.07253027,0
2018/4/13,19946548,246,246,244,244.5,-0.5,245.6,248.4666667,45.73096417,-0.87533812,-0.468135525,-0.407202596,0.182941465,-1
2018/4/16,21608528,243,244,242,243.5,-1,245.55,248.4833333,44.29868664,-1.030412374,-0.580590894,-0.44982148,0.292136756,0.5
2018/4/17,42756389,243,243.5,237.5,238,-5.5,244.75,248.4166667,37.3668182,-1.578913144,-0.780255344,-0.7986578,0.874241429,-1
2018/4/19,33230989,242,244.5,241,244.5,6.5,243.6,248.1166667,48.42783094,-1.772044099,-1.172277345,-0.599766755,0.67552929,-0.6
2018/4/20,129890087,228,231.5,228,229,-15.5,242.1,247.5166667,33.31769454,-2.817039264,-1.501229729,-1.315809535,0.089511969,-0.333333333
2018/4/23,71901975,226.5,227.5,225,226.5,-2.5,240.25,246.75,31.60484196,-3.803094856,-1.961602754,-1.841492102,0.747137461,-0.333333333
2018/4/25,48975110,225.5,226,224,225,-2,236.1,245,30.89631071,-5.140836953,-3.002380254,-2.138456698,0.013349529,-1
2018/4/30,28500789,224.5,228,222.5,227,3.5,230.05,241.7166667,36.89744326,-6.110429873,-4.494790267,-1.615639606,0.841525696,-1
