標題,日期,sentiments
[新聞] 蔡英文：拚台積設備國產化,2018/4/30,0.7297824930523966
[新聞] 台積電奪超微首發7奈米代工訂單,2018/4/30,0.9532688987895482
[新聞] 陸媒喊：台積電是中國的,2018/5/01,0.6276584121731791
[新聞] 股價保衛戰 台積捍衛220、鴻海守80,2018/5/04,0.025918560322697792
[新聞] 股價近半年新低 台積電回神今止跌,2018/5/04,0.05962194147394473
[新聞] 台積電恐造成台南缺水缺電？ 網酸：你們,2018/5/08,0.038497988922779225
[新聞] 【Y晚報】蘋概股重獲青睞 台積電連漲3天,2018/5/09,0.34119536543628826
[新聞] 力晶 拚當台積電第二,2018/5/16,0.5080881097641579
[新聞] 中芯砸1.2億美元購買 EUV 拚追台積電,2018/5/18,0.24453555511039526
[新聞] 台積電員工出手速度快 新竹房價連三季上,2018/5/19,0.9679085467510036
[新聞] 台積電７奈米 六月放量出貨,2018/5/21,0.03949337607323333
[新聞] 台股萬點滿周年 台積成最大贏家,2018/5/22,0.26196422967691324
[新聞] 傳台積電開始量產新iPhone的A12晶片,2018/5/23,0.35009384570376834
[新聞] 台積電上半年市占率第一達56%　聯電第三,2018/5/25,0.12144170538428212
[新聞] 大摩看台積電 後挖礦時代有四情境,2018/5/29,0.9815575895224572
[新聞] 後張忠謀時代 分析師：台積電股價有望創,2018/6/03,0.5721171980714996
[新聞] 小米澎湃S2處理器正式量產，台積電16nm工,2018/6/05,0.9873735553669998
[新聞] 張忠謀駁台積電出走 強調：根留台灣,2018/6/05,0.376250539380384
[新聞] 台積電5月營收809.69億元 連二個月下滑,2018/6/08,0.10371534308198516
[新聞] 台積連兩月衰退 下季有雜音,2018/6/11,0.9692162648663687
[新聞] 客戶擬直奔 7 奈米製程節點，台積電積極,2018/6/12,0.040468036446509315
[新聞] 8吋晶圓缺貨明年紓解 台積電聯電評等兩,2018/6/18,0.24152852215501286
[新聞] 不再給台積電賺？外媒曝今年新 iPhone 達,2018/6/18,0.1054790007684091
[新聞] 開盤前 台積電值得留意的兩個利空消息,2018/6/19,0.27051030889932537
[新聞] 張忠謀透露 台積開發2奈米,2018/6/19,0.8161465425451032
[新聞] 10／7奈米明年產能增3倍 台積訂單滿手,2018/6/21,0.8935042172814149
"[新聞] 台積砸7,500億 強攻5奈米",2018/6/22,0.48507729937063226
[新聞] 台積電砸250億美元 強攻5奈米明年初試產,2018/6/24,0.5132801280439757
[新聞] 傳比特大陸將砍50％訂單 券商：台積電Q3,2018/6/24,0.004861459131272339
[新聞] 光罩重新打入台積電供應鏈 Q3挑戰滿載,2018/6/25,0.10024613758157486
[新聞] 台積電除息失利鴻海受累 大跌112點摜破10,2018/6/25,0.16735879273585041
[新聞] 台積電 7 奈米將吃高通驍龍 1000 平台訂,2018/6/25,0.06871152746286702
[新聞] 傳三星砍價20% 欲搶台積電蘋果A13訂單,2018/6/26,0.10818969236021736
[新聞] 台積不怕貿易戰 「有轉單效應」,2018/6/27,0.011622651367551917
[新聞] 外資：台積電爆發力在明年,2018/6/28,0.6141342293555695
[新聞] 台積電6月營收704億元 月減13%,2018/7/10,0.027313867506548406
[新聞] 中鋼台積 營運發光,2018/7/11,0.6871234799934143
[新聞] 台積電外資評等 1買進1加碼1中立,2018/7/11,0.01979250274522837
[新聞] 華為麒麟 710 處理器仍由台積電 12 奈米,2018/7/17,0.21395646879727415
[新聞] 台積電法說前　外資：旺季不旺全年恐下調,2018/7/18,0.039282875567884346
[新聞] 台積下修展望沒差　美系外資喊利空出盡,2018/7/19,0.07713399650271457
[新聞] 台積電第2季EPS 2.79元 近三季新低,2018/7/19,0.932876811896796
[新聞] 慘！外資猜中 台積電年營收與資本支出雙,2018/7/19,0.2560326464877546
[新聞] 台積電Q3營收估增8%　二降全年成長目標,2018/7/19,0.009329615447611683
[新聞] 台積電下修今年營收增幅/資本支出；7奈,2018/7/19,0.18069025717775689
[新聞] 台積電第3季展望優於預期 營運谷底已過,2018/7/19,0.7265706809070027
[新聞] 台積電營運不靠加密貨幣：7奈米下半年發,2018/7/19,0.356729153804645
[新聞] 法人看台積後市 最壞的時間已過,2018/7/20,0.02195674053337593
[新聞] 〈台積電法說〉法說會重點一次看清楚,2018/7/20,0.12409726768076368
[新聞] 台積電法說會後 外資評等7加碼1中立,2018/7/20,0.14042991117553327
[新聞] 外資狂買台積電3.74萬張　創近年單日最大,2018/7/20,0.8687293756991238
[新聞] 台積橫掃5G、AI晶片訂單,2018/7/23,0.40025739759001633
[新聞] 英特爾10奈米延明年上市 落後台積差距拉,2018/7/28,0.9110558295998604
[新聞] 為何英特爾這一小麻煩 卻成了超微和台積,2018/7/30,0.6833749744022659
[新聞] 蘋果財報佳 台積、大立光等業績動能轉強,2018/8/01,0.9638187696825887
[新聞] 台積電7奈米進入大量產 只花3個月,2018/8/02,0.03148049471971459
[新聞] 台積電證實遭病毒攻擊,2018/8/04,0.09699832982835033
[新聞] 台積公司公布電腦病毒感染事件影響,2018/8/05,0.9575319024149682
[新聞] 台積遭病毒攻擊〉Q3營收受影響3%,2018/8/05,0.19097374787233246
[新聞] 新機台安裝軟體失誤　台積電估第3季損失新台幣77~78億,2018/8/05,0.019623040866693087
[新聞] 蒸發78億！ 台積電抓出魔鬼：裝新機台未,2018/8/06,0.6222021403386384
[新聞] 台積電爆發史上第一次機台遭「想哭」病毒,2018/8/06,0.24361510021942245
[新聞] 台積電病毒事件 下午召開重大訊息說明會,2018/8/06,0.07360873433625703
[新聞] 台積電重訊過後 法人最新解讀看這裡,2018/8/06,0.3171141675066582
[新聞] 【台積電染毒】台積電病毒感染聲明　專家,2018/8/07,0.7775903014996708
[新聞] 害台積電中毒？辛耘：哪傳的假消息,2018/8/09,0.018228960296886698
[新聞] 止跌回穩　台積7月營收734.71億月增5.6%,2018/8/10,0.04508087747281542
[新聞] 嘉楠耘智7奈米晶片 由台積電代工生產,2018/8/15,0.2892807856050936
[新聞] 拚全球第一！台積電3奈米廠允諾用綠電,2018/8/15,0.7062073402001123
[新聞] 台灣ADR除台積電外全漲 台積電被費半拖累,2018/8/20,0.00584283148454301
[新聞] 台積電7奈米製程優勢，擺脫三星大吃蘋果,2018/8/21,0.7336246093940592
[新聞] 挖礦急單到 台積電7奈米衝,2018/8/23,0.7334494978721322
"[新聞] 台積電獲輝達、超微兩大單,一路旺到明年",2018/8/23,0.9956109169775669
[新聞] 台積電、傳產股領軍 台股收漲58.93點,2018/8/23,0.014137035735991121
[新聞] 江蘇看齊工研院 要培育自己的台積電,2018/8/25,0.5334108980762058
[新聞] 超微股價大爆發 台積電祥碩受惠,2018/8/27,0.277974851483347
[新聞] 格羅方德退出晶片製程爭奪戰 台積電霸主,2018/8/28,0.03560055671382356
[新聞] 台積稱霸高階製程 兩原因,2018/8/29,0.46360076596263655
[新聞] 台積電稱霸七奈米 外資調高目標價302,2018/8/29,0.016977473119775932
[新聞] 2哥7奈米吃癟 爽到1哥台積電！專家爆：,2018/8/29,0.24928680727196872
[新聞] 台積電副理想跳槽中國 狂印機密文件,2018/8/31,0.216162316649386
[新聞] 年薪400萬還不滿足　台積電副理為跳槽盗,2018/8/31,0.047488712667716704
[新聞] 台積賣茂迪股 損失逾4億,2018/9/02,0.06473172221738521
[新聞] 外資上周買超台股369.21億元 最愛台積電,2018/9/03,0.5092318194486701
[新聞] 台積電喊衝、金融傳產不動 台股萬一踱步,2018/9/05,0.8054431980025233
[新聞] 日經新聞：台積電不排除併購記憶晶片公司,2018/9/06,0.036724263639735466
[新聞] 台積電透露將收購記憶體廠　南亞科遭點名,2018/9/06,0.24284731850748853
[新聞] 台積評估收南亞科 旺宏 華邦電 身價看漲,2018/9/07,0.45738440644445033
[新聞] 蘋果新機加持 台積電8月營收910億元月增,2018/9/10,0.28143796616935546
[新聞] Intel 部份14奈米cpu將外包台積電,2018/9/10,0.06230443277595177
[新聞] 英特爾先進製程不順　14奈米訂單外包台積,2018/9/11,0.032207091333682714
[新聞] 台積電竹南先進封測廠開始環評 最快1年半,2018/9/11,0.009256270877994077
[新聞] 台積電爆萬張鉅額交易 法人這麼解讀,2018/9/11,0.6092349453817659
[新聞]台積電：晶片微縮可望加速進展,2018/9/12,0.5013110223489831
[新聞] 三星拉智原 強碰台積電 要大搶7奈米及8奈,2018/9/13,0.11940739756800256
[新聞] 蘋果華為拼7奈米 台積電最大贏家,2018/9/15,0.06331512241710346
[新聞] 外資挺台積 齊喊３字頭,2018/9/17,0.012034720824767087
[新聞] 台灣ADR追隨台股頹勢 台積電跌1.5%,2018/9/18,0.06053647320109479
[新聞] 美系外資看好台積電3A題材，調高評等至加碼，目標價升至289,2018/9/19,0.028125152960219335
[新聞] 台積電領軍　台股收漲97點站回年線,2018/9/19,0.0358330457369429
[新聞] 台積電竹南新廠鎖定次代先進封裝　SoICs,2018/9/25,0.11987310782504845
[新聞] 五個理由 小摩上修台積電目標價,2018/9/26,0.004130041532982354
[新聞] 英特爾落後台積電7年 分析師:恐永遠無法,2018/9/29,0.8372552967388621
[新聞] 華為10/16新機發表 郭明錤高喊台積電,2018/10/02,0.16859481833985746
[新聞] 台積電創辦人張忠謀 確定出任APEC領袖代,2018/10/03,0.6851855286678203
[新聞] 台積揪亞馬遜 組雲端大聯盟,2018/10/04,0.6519746327331276
[新聞] 台積攻雲端 外資重申買進,2018/10/05,0.18701637386259018
[新聞] 景氣惡化 調降11檔評等與個股目標價 台積,2018/10/08,4.361292828858332e-05
[新聞] 台積電9月營收949億元 歷史次高,2018/10/09,0.05293266563861665
[新聞] 台積電董娘張淑芬與裕隆集團 攜手激盪公,2018/10/10,0.7774177880999422
[新聞] 台積電獨拿蘋果A13晶片大單 明年晶圓代工,2018/10/11,0.652795122495267
[新聞] 竹科寶山擴建 為台積找地,2018/10/11,0.7742630917219974
